"ニュース番号", "クイズ番号", "質問", "選択肢1", "選択肢2", "選択肢3", "選択肢4", "正解選択肢"
6, 3, "どのようなタイプの職場でも「親の職場訪問日」が行われましたか？", "トラディショナルな職場", "フレキシブルな職場", "製造業", "病院", "フレキシブルな職場"
7, 1, "新たに追加された4つの元素のうち、特に注目されているのは？", "Carbon", "Oxygen", "Nihonium", "Hydrogen", "Nihonium"
7, 2, "Nihoniumはどの国にちなんで名付けられましたか？", "中国", "日本", "韓国", "ベトナム", "日本"
7, 3, "Nihoniumを発見した研究者はどの国からですか？", "アメリカ", "イギリス", "日本", "ロシア", "日本"
8, 1, "10歳の生徒の科学の成績で1位を獲得した国は？", "日本", "シンガポール", "ロシア", "韓国", "シンガポール"
8, 2, "科学成績で3位にランクインした国は？", "シンガポール", "韓国", "日本", "フィンランド", "日本"
8, 3, "このランキングは何年ごとに行われますか？", "2年", "4年", "6年", "1年", "4年"
9, 1, "銃を持った男がピザ店に現れた原因は何ですか？", "本物のニュース", "フェイクニュース", "翻訳の間違い", "誤解", "フェイクニュース"
9, 2, "フェイクニュースはどんな内容でしたか？", "違法な武器取引", "ピザの配達が遅刻", "ピザ店が児童性愛リングの拠点", "ピザの価格が下がる", "ピザ店が児童性愛リングの拠点"
9, 3, "この嘘のニュースに言及された政治家は誰ですか？", "ドナルド・トランプ", "バラク・オバマ", "ヒラリー・クリントン", "ジョー・バイデン", "ヒラリー・クリントン"
10, 1, "宇宙からの謎の信号が初めて観測されたのはいつですか？", "2000年", "2005年", "2007年", "2010年", "2007年"
10, 2, "信号が発せられた場所はどこですか？", "太陽系", "鳥座", "アルファ・ケンタウリ", "オリオン座", "鳥座"
10, 3, "信号の発生源はどれくらいの距離離れた場所からですか？", "1億光年", "10億光年", "30億光年", "100億光年", "30億光年"
11, 1, "ボブ・ディランが受賞した賞は何ですか？", "グラミー賞", "ピューリッツァー賞", "ノーベル文学賞", "アカデミー賞", "ノーベル文学賞"
11, 2, "彼の優れた詩的表現が評価された理由は？", "偉大な現代音楽の伝統に新しい詩的表現を創造したため", "長編小説を書いたため", "漫才での才能を見せたため", "歴史映画を制作したため", "偉大な現代音楽の伝統に新しい詩的表現を創造したため"
11, 3, "彼の有名な歌の一つはどれですか？", "Imagine", "Blowing in the Wind", "Yesterday", "Hotel California", "Blowing in the Wind"
12, 1, "ヴィンセント・ヴァン・ゴッホの絵画が盗まれたのはどの都市ですか？", "パリ", "ニューヨーク", "アムステルダム", "ロンドン", "アムステルダム"
12, 2, "この絵画はどこで発見されましたか？", "警察署", "美術館", "イタリアマフィアの関連組織の捜索中", "プライベートコレクション", "イタリアマフィアの関連組織の捜索中"
12, 3, "絵画の推定価値はいくらでしたか？", "1500万ドル", "2000万ドル", "3000万ドル", "5000万ドル", "3000万ドル"
13, 1, "中国の新しいステルス戦闘機の名前は何ですか？", "J10", "J20", "F22", "Su57", "J20"
13, 2, "これらの戦闘機はどの国の戦闘機に対抗することを目指していますか？", "ロシア", "インド", "アメリカ", "イギリス", "アメリカ"
13, 3, "中国空軍が戦闘機を導入することによって強化される地域は？", "ヨーロッパ", "アフリカ", "太平洋", "南極", "太平洋"
14, 1, "ロシアのドーピング陰謀に関与したとされるスポーツ選手の数は？", "500人", "700人", "1000人以上", "1500人", "1000人以上"
14, 2, "ドーピングが行われたスポーツの数は？", "10種類", "20種類", "30種類以上", "40種類", "30種類以上"
14, 3, "報告書が発表された都市は？", "ニューヨーク", "トロント", "ロンドン", "パリ", "ロンドン"
15, 1, "エマ・ワトソンの写真が議論を巻き起こしたのはどこで発表されたからですか？", "タイム", "ヴァニティ・フェア", "ニューヨーク・タイムズ", "ワシントン・ポスト", "ヴァニティ・フェア"
15, 2, "エマ・ワトソンはフェミニズムについて何と言いましたか？", "女性を批判するためのもの", "自由と解放、平等のためのもの", "男性に対する反対運動", "裁判を支援するためのもの", "自由と解放、平等のためのもの"
15, 3, "エマ・ワトソンは何について批判されましたか？", "政治的発言", "映画の選択", "自分を性的に表現していること", "ビジネス活動", "自分を性的に表現していること"
16, 1, "コーマから覚めた後、少年が話すようになった言語は？", "ドイツ語", "フランス語", "スペイン語", "中国語", "スペイン語"
16, 2, "少年はどのスポーツをしている際に負傷しましたか？", "バスケットボール", "フットボール", "サッカー", "ホッケー", "サッカー"
16, 3, "少年の名前は？", "マイケル", "ルーベン", "ジョン", "デイビッド", "ルーベン"
17, 1, "どの国際機関がスーパー菌の脅威に取り組むことを決定しましたか？", "WHO", "NATO", "国連", "OPEC", "国連"
17, 2, "スーパー菌が年間1000万人の命を奪うと予測されているのは何年までですか？", "2030年", "2040年", "2050年", "2060年", "2050年"
17, 3, "バクテリアが抗生物質に対してどのように反応するかを示した映像が提供されたのはどの大学ですか？", "ハーバード大学", "イェール大学", "ケンブリッジ大学", "オックスフォード大学", "ハーバード大学"
18, 1, "「ダッドボッド」が指すのはどのような体型ですか？", "筋肉質", "痩せ型", "中肉中背で丸みを帯びた体型", "太り気味", "中肉中背で丸みを帯びた体型"
18, 2, "「ダッドボッド」の男性がどの健康問題にかかりにくいとされていますか？", "心臓病と前立腺癌", "糖尿病", "アレルギー", "高血圧", "心臓病と前立腺癌"
18, 3, "この研究を行ったのはどのグループですか？", "女性学者", "市民グループ", "男性", "政府機関", "男性"
19, 1, "フィリピンでの薬物戦争を主導しているのは誰ですか？", "ベニーニョ・アキノ三世", "ロドリゴ・デュテルテ", "マルコス・ジュニア", "ラウル・エスコバー", "ロドリゴ・デュテルテ"
19, 2, "2016年7月以降に薬物戦争で亡くなった人数は？", "3000人", "4000人", "5000人", "6000人", "6000人"
19, 3, "批判的な人権弁護士であるフィリピンの副大統領の名前は？", "フェルディナンド・マルコス", "ジョゼフ・エストラダ", "コラソン・アキノ", "レニー・ロブレド", "レニー・ロブレド"
20, 1, "AIに置き換えられる従業員の数は？", "24人", "34人", "44人", "54人", "34人"
20, 2, "このAI置き換えが起きたのはどの国ですか？", "韓国", "中国", "日本", "アメリカ", "日本"
20, 3, "フォココ生命保険が使用するAIプラットフォームの名前は？", "Google DeepMind", "Microsoft Azure", "IBM Watson", "Amazon Web Services", "IBM Watson"
