Video Number,Question,Option A,Option B,Option C,Option D,Correct Answer
7,What is the name of the newly added element?,Japanium,Tokyonium,Nihonium,Asianium,Nihonium
7,What is the nationality of the researcher who discovered this element?,Chinese,Korean,Japanese,Indian,Japanese
7,In which row of the periodic table is 'Nihonium' located?,5th row,6th row,7th row,8th row,7th row
8,Which country ranked first in science skills for 10-year-olds?,Japan,South Korea,Singapore,Finland,Singapore
8,How often is this ranking conducted?,Every 2 years,Every 3 years,Every 4 years,Every 5 years,Every 4 years
8,Which is the only European country to make it into the top 5?,Germany,France,United Kingdom,Finland,Finland
9,Where did the man with a gun go?,A school,A government agency,A pizza shop,A bank,A pizza shop
9,Who was falsely accused in the fake news story?,Donald Trump,Barack Obama,Hillary Clinton,Joe Biden,Hillary Clinton
9,What was the fake news story about?,Election fraud,Child sex trafficking ring,Money laundering,Espionage activities,Child sex trafficking ring
10,When were Fast Radio Bursts (FRBs) first discovered?,2005,2007,2009,2011,2007
10,Where was the source of the FRB identified?,Within the Milky Way,Andromeda Galaxy,A small galaxy 3 billion light-years away,An exoplanet,A small galaxy 3 billion light-years away
10,In which constellation was the FRB discovered?,Orion,Taurus,Auriga,Scorpius,Auriga
11,In which category did Bob Dylan win the Nobel Prize?,Peace,Literature,Music,Economics,Literature
11,What was cited as the reason for Dylan's award?,Contributions to anti-war efforts,Creating new poetic expressions within the American song tradition,Innovative contributions to the music industry,Activities for social justice,Creating new poetic expressions within the American song tradition
11,Which of Bob Dylan's famous songs was mentioned in the news?,Like a Rolling Stone,Mr. Tambourine Man,Blowin' in the Wind,Knockin' on Heaven's Door,Blowin' in the Wind
12,In which year were the Van Gogh paintings stolen?,2000,2002,2004,2006,2002
12,Where is the museum from which the paintings were stolen?,Paris,London,Amsterdam,New York,Amsterdam
12,What is the estimated value of the stolen paintings?,About $10 million,About $20 million,About $30 million,About $40 million,About $30 million
13,What is the name of China's new stealth fighter?,J-10,J-15,J-20,J-31,J-20
13,At what event was this fighter jet unveiled?,Military parade,Air show,Technology exhibition,UN General Assembly,Air show
13,"According to the Chinese Air Force spokesman, what is the main purpose of this fighter jet?",Space exploration,Counter-terrorism operations,Enhancing air force power in the Pacific region,Improving civilian aviation technology,Enhancing air force power in the Pacific region
14,Which organization released this report?,International Olympic Committee (IOC),World Anti-Doping Agency (WADA),United Nations,FIFA,World Anti-Doping Agency (WADA)
14,"According to the report, how many Russian athletes were involved in the doping scheme?",About 500,About 1000,About 1500,About 2000,About 1000
14,How many sports were involved in this doping scheme?,More than 10,More than 20,More than 30,More than 40,More than 30
15,What sparked the debate about Emma Watson's feminism?,A movie poster,A magazine cover photo,A social media post,An advertising campaign,A magazine cover photo
15,What aspect of Emma Watson did critics criticize?,Her political statements,Her lack of acting skills,The contradiction between feminism and sexualization,Her lack of charity work,The contradiction between feminism and sexualization
15,"According to Emma Watson, what is feminism about?",Superiority over men,Protecting traditional values,Women's freedom of choice,Political movement,Women's freedom of choice
16,Where did this incident occur?,Florida,Texas,California,Georgia,Georgia
16,What caused the boy to fall into a coma?,A car accident,An illness,A severe concussion while playing soccer,A lightning strike,A severe concussion while playing soccer
16,What did the coach suggest after the boy's recovery?,Quitting soccer,Learning a new language,Undergoing medical tests,Wearing a helmet,Wearing a helmet
17,What threat did 193 countries of the UN General Assembly agree to tackle?,Climate change,Drug-resistant bacteria (superbugs),Cyberterrorism,Food shortage,Drug-resistant bacteria (superbugs)
17,What do the images from Harvard show?,The morphology of superbugs,The process of bacterial mutation and spread,The effects of new antibiotics,The human immune response,The process of bacterial mutation and spread
17,"According to experts, how many people could superbugs kill annually by 2050?",1 million,5 million,10 million,50 million,10 million
18,What does 'dad bod' refer to?,A fatherly attitude,A slightly overweight physique of middle-aged men,Fashion for fathers,Behavioral patterns of fathers,A slightly overweight physique of middle-aged men
18,"According to the research, what health benefits do men with 'dad bods' have?",Increased muscle strength,Lower risk of heart attacks and prostate cancer,Longer life expectancy,Reduced mental stress,Lower risk of heart attacks and prostate cancer
18,Who is behind this 'groundbreaking' research?,A team of female researchers,A group of medical experts,A male researcher,The fitness industry,A male researcher
19,"According to the Philippine National Police, how many people have died in the drug crackdown since July 1, 2016?",About 2000,About 4000,About 6000,About 8000,About 6000
19,How many deaths were reported to be from police operations?,About 1000,About 2000,About 3000,About 4000,About 2000
19,What was Philippine Vice President Leni Robredo's previous occupation?,Police officer,Human rights lawyer,Journalist,Doctor,Human rights lawyer
20,What is the nationality of the company that replaced employees with AI?,American,Chinese,Japanese,German,Japanese
20,What AI platform did the company introduce?,Google AI,IBM Watson,Microsoft Azure,Amazon Alexa,IBM Watson
20,By what percentage does the company predict productivity will increase with AI?,10%,20%,30%,40%,30%
