ニュース番号,問題,選択肢A,選択肢B,選択肢C,選択肢D,正解
17,薬剤耐性菌は、別名何と呼ばれていますか？,スーパーバーグ,キラーバクテリア,デッドリージャーム,アンチバイオティックス・ナイトメア,A
17,対策が取られなかった場合、2050年までにスーパーバーグによって年間何人が死亡すると予測されていますか？,100万人,1000万人,1億人,10億人,B
18,このニュースで取り上げられている、中年の男性の体型は何と呼ばれていますか？,シックスパック,ムキムキボディ,ダッドボッド,おじさん体型,C
18,ダッドボッドは、どのようなホルモンのレベルの変化によって引き起こされるとされていますか？,エストロゲン,テストステロン,アドレナリン,セロトニン,B
18,ダッドボッドの男性は、どのような健康上の利点があるとされていますか？,長生きする,心臓発作や前立腺がんのリスクが低い,免疫力が高い,ストレスに強い,B
19,フィリピンで、ロドリゴ・ドゥテルテ大統領が主導している crackdown は、何に対するものですか？,汚職,貧困,麻薬,テロ,C
19,この crackdown によって、7月1日以降、何人が死亡したと報告されていますか？,約600人,約6000人,約6万人,約60万人,B
19,ドゥテルテ大統領の麻薬対策を批判しているフィリピン副大統領は誰ですか？,グレース・ポー,コーリー・アキノ,レニ・ロブレド,ミリアム・サンチェス,C
20,日本のどの企業が、従業員を AI に置き換えることを発表しましたか？,トヨタ自動車,ソニー,富国生命保険,ソフトバンク,C
20,この企業が導入した AI プラットフォームは、どの企業の技術に基づいていますか？,Google,Apple,IBM,Microsoft,C
20,この企業は、AI 導入によって、生産性がどのくらい向上すると予測していますか？,10%,20%,30%,50%,C
